,speaker,sentence
0,CHAIR POWELL,"Good afternoon, everyone."
1,CHAIR POWELL,My colleagues and I remain squarely focused on our dual mandate to promote maximum employment and stable prices for the American people.
2,CHAIR POWELL,"We understand the hardship that high inflation is causing, and we remain strongly committed to bringing inflation back down to our 2 percent goal."
3,CHAIR POWELL,Price stability is the responsibility of the Federal Reserve.
4,CHAIR POWELL,"Without price stability, the economy does not work for anyone."
5,CHAIR POWELL,"In particular, without price stability, we will not achieve a sustained period of strong labor market conditions that benefit all."
6,CHAIR POWELL,"Since early last year, the FOMC has significantly tightened the stance of monetary policy."
7,CHAIR POWELL,We’ve raised our policy interest rate by 5¼ percentage points and have continued to reduce our securities holdings at a brisk pace.
8,CHAIR POWELL,"We’ve covered a lot of ground, and the full effects of our tightening have yet to be felt."
9,CHAIR POWELL,"Today, we decided to leave our policy interest rate unchanged and to continue to reduce our securities holdings."
10,CHAIR POWELL,"Looking ahead, we’re in a position to proceed carefully in determining the extent of additional policy firming that may be appropriate."
11,CHAIR POWELL,Our decisions will be based on our ongoing assessments of the incoming data and the evolving outlook and risks.
12,CHAIR POWELL,I will have more to say about monetary policy after briefly reviewing economic developments.
13,CHAIR POWELL,"Recent indicators suggest that economic activity has been expanding at a solid pace, and, so far this year, growth in real GDP has come in above expectations."
14,CHAIR POWELL,Recent readings on consumer spending have been particularly robust.
15,CHAIR POWELL,"Activity in the housing sector has picked up somewhat, though it remains well below levels of a year ago, largely reflecting higher mortgage rates."
16,CHAIR POWELL,Higher interest rates also appear to be weighing on business fixed investment.
17,CHAIR POWELL,"In our Summary of Economic Projections, or SEP, Committee participants revised up their assessments September 20, 2023 of real GDP growth, with the median for this year now at 2.1 percent."
18,CHAIR POWELL,"Participants expect growth Chair Powell’s Press Conference FINAL to cool, with the median projection falling to 1.5 percent next year."
19,CHAIR POWELL,"The labor market remains tight, but supply and demand conditions continue to come into better balance."
20,CHAIR POWELL,"Over the past three months, payroll job gains averaged 150,000 jobs per month, a strong pace that is nevertheless well below that seen earlier in the year."
21,CHAIR POWELL,The unemployment rate ticked up in August but remains low at 3.8 percent.
22,CHAIR POWELL,"The labor force participation rate has moved up since late last year, particularly for individuals aged 25 to 54 years."
23,CHAIR POWELL,"Nominal wage growth has shown some signs of easing, and job vacancies have declined so far this year."
24,CHAIR POWELL,"Although the jobs-to-workers gap has narrowed, labor demand still exceeds the supply of available workers."
25,CHAIR POWELL,"FOMC participants expect the rebalancing in the labor market to continue, easing upward pressures on inflation."
26,CHAIR POWELL,The median unemployment rate projection in the SEP rises from 3.8 percent at the end of this year to 4.1 percent over the next two years.
27,CHAIR POWELL,Inflation remains well above our longer-run goal of 2 percent.
